MapID,MapName,MapType,ConnectedMapIDs,ConnectedMapNames
1,Phượng Tường,City,3;7;99,Kiếm Các Tây Bắc;Tần Lăng;VỊnh Lạc trấn
2,Hoa Sơn,Field,99;333,VỊnh Lạc trấn;Hoa Sơn phái
3,Kiếm Các Tây Bắc,Field,1;4,Phượng Tường;Kim Quang động
4,Kim Quang động,Cave,3;5;6,Kiếm Các Tây Bắc;Kinh Hoàng động;Tỏa Vân động
5,Kinh Hoàng động,Cave,4;6;19,Kim Quang động;Tỏa Vân động;Kiếm Các Tây Nam
6,Tỏa Vân động,Cave,4;5;43,Kim Quang động;Kinh Hoàng động;Kiếm Các Trung Nguyên
7,Tần Lăng,Field,1;8,Phượng Tường;Lăng Tần Thủy Hoàng
8,Lăng Tần Thủy Hoàng,Cave,7;206,Tần Lăng;Tần Lăng tầng 2
9,Trường Giang Nguyên Đầu,Cave,10;11;13,Nhạn Thạch động;Thành Đô;Nga My phái
10,Nhạn Thạch động,Cave,9,Trường Giang Nguyên Đầu
11,Thành Đô,City,9;12;13;19;20;21;25,Trường Giang Nguyên Đầu;Địa đạo hậu viện Tín Tưởng tự;Nga My phái;Kiếm Các Tây Nam;Giang Tân Thôn;Thanh Thành sơn;Đường Môn
12,Địa đạo hậu viện Tín Tưởng tự,Cave,11,Thành Đô
13,Nga My phái,Tong,9;11;14,Trường Giang Nguyên Đầu;Thành Đô;Mãnh Hổ động
14,Mãnh Hổ động,Cave,13,Nga My phái
19,Kiếm Các Tây Nam,Field,5;11,Kinh Hoàng động;Thành Đô
20,Giang Tân Thôn,Country,11;202,Thành Đô;Phù Dung động
21,Thanh Thành sơn,Field,11;22;23;24,Thành Đô;Bạch Vân động;Thần Tiên động;Hướng Thủy động
22,Bạch Vân động,Cave,21,Thanh Thành sơn
23,Thần Tiên động,Cave,21,Thanh Thành sơn
24,Hướng Thủy động,Cave,21,Thanh Thành sơn
25,Đường Môn,Tong,11;26,Thành Đô;Trúc Tơ động tầng 1
26,Trúc Tơ động tầng 1,Cave,25;27,Đường Môn;Trúc Tơ động tầng 2
27,Trúc Tơ động tầng 2,Cave,26,Trúc Tơ động tầng 1
37,Biện Kinh,Capital,38;41;45;100;103;319,Thiết tháp tầng 1;Phục Ngưu Sơn Tây;Thiên NhẨn giáo;Chu Tiên trấn;Thiếu Lâm phái;Lâm Du Quan
38,Thiết tháp tầng 1,Cave,37;39,Biện Kinh;Thiết tháp tầng 2
39,Thiết tháp tầng 2,Cave,38;40,Thiết tháp tầng 1;Thiết tháp tầng 3
40,Thiết tháp tầng 3,Cave,39,Thiết tháp tầng 2
41,Phục Ngưu Sơn Tây,Field,37;42,Biện Kinh;Thiên Tâm động
42,Thiên Tâm động,Unknown,41;43;91,Phục Ngưu Sơn Tây;Kiếm Các Trung Nguyên;Mê cung Kê Quán động
43,Kiếm Các Trung Nguyên,Field,6;42,Tỏa Vân động;Thiên Tâm động
44,Chiến trường Tống Kim,Battlefield,78;100,Tương Dương;Chu Tiên trấn
45,Thiên NhẨn giáo,Tong,37;46,Biện Kinh;Thiên NhẨn Giáo tầng 1
46,Thiên NhẨn Giáo tầng 1,Tong,45;47;48,Thiên NhẨn giáo;Thiên NhẨn Giáo tầng 2;Thiên NhẨn Giáo tầng 2
47,Thiên NhẨn Giáo tầng 2,Tong,46;49;50,Thiên NhẨn Giáo tầng 1;Thiên NhẨn Giáo tầng 3;Thất Sát động
48,Thiên NhẨn Giáo tầng 2,Tong,46;49;50,Thiên NhẨn Giáo tầng 1;Thiên NhẨn Giáo tầng 3;Thất Sát động
49,Thiên NhẨn Giáo tầng 3,Tong,47;48;51,Thiên NhẨn Giáo tầng 2;Thiên NhẨn Giáo tầng 2;Thánh động tầng 1
50,Thất Sát động,Cave,47;48,Thiên NhẨn Giáo tầng 2;Thiên NhẨn Giáo tầng 2
51,Thánh động tầng 1,Cave,49;52,Thiên NhẨn Giáo tầng 3;Thánh động tầng 2
52,Thánh động tầng 2,Cave,51,Thánh động tầng 1
53,Ba Lăng huyện,Country,54;70;74;199,Nam Nhạc trấn;Vũ Lăng sơn;Miêu LỊnh;Vũ Lăng động
54,Nam Nhạc trấn,Country,53;56,Ba Lăng huyện;Hoành Sơn Phái
55,Đào Hoa Nguyên,Others,73,Phục Lưu động
56,Hoành Sơn Phái,Field,54,Nam Nhạc trấn
59,Thiên Vương Bang,Tong,65;66,Thiên Vương đảo sơn động;Đáy Động Đình hồ tầng 1
65,Thiên Vương đảo sơn động,Cave,59,Thiên Vương Bang
66,Đáy Động Đình hồ tầng 1,Cave,59;67,Thiên Vương Bang;Đáy Động Đình hồ tầng 2
67,Đáy Động Đình hồ tầng 2,Cave,66,Đáy Động Đình hồ tầng 1
68,Thanh Loa đảo,Field,69,Thanh Loa đảo sơn động
69,Thanh Loa đảo sơn động,Cave,68,Thanh Loa đảo
70,Vũ Lăng sơn,Field,53;71;72;73,Ba Lăng huyện;Bạch Thủy động;Đại Tù động;Phục Lưu động
71,Bạch Thủy động,Cave,70;73,Vũ Lăng sơn;Phục Lưu động
72,Đại Tù động,Cave,70,Vũ Lăng sơn
73,Phục Lưu động,Cave,55;70;71,Đào Hoa Nguyên;Vũ Lăng sơn;Bạch Thủy động
74,Miêu LỊnh,Field,53;76;77,Ba Lăng huyện;Sơn Bảo động;Yến Tử động
75,Khoả Lang động,Cave,76;77,Sơn Bảo động;Yến Tử động
76,Sơn Bảo động,Cave,74;75,Miêu LỊnh;Khoả Lang động
77,Yến Tử động,Cave,74;75,Miêu LỊnh;Khoả Lang động
